block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,flowers,fruits,FrFlN,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,UCD_Lat,UCD_Long,UCD_Elev,Geographic_Dist,Elev_Dist
H1,10,C,BH_6_11,BH,6,11,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,13,B,CP2_3_3,CP2,3,3,High,2244.132886,38.66169,-120.13065,0,0,0,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,38.5325,-121.783,16,144473.26494042546,-2228.132886
H1,14,A,BH_5_3,BH,5,3,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,14,D,SC_5_3,SC,5,3,Low,421.5178299,38.41167,-120.73583000000001,0,0,0,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H1,15,C,CP2_3_10,CP2,3,10,High,2244.132886,38.66169,-120.13065,5,144,149,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,38.5325,-121.783,16,144473.26494042546,-2228.132886
H1,17,B,DPR_5_2,DPR,5,2,Mid,1018.591893,39.22846,-120.81518,116,0,116,0.2429127311932732,0.1895683074845188,0.4602717482119945,0.44225066919664874,38.5325,-121.783,16,114174.70195703619,-1002.591893
H1,19,A,TM2_5_1,TM2,5,1,Low,379.1526973,39.59255,-121.55072,111,25,136,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
H2,23,C,BH_7_22,BH,7,22,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H2,24,B,BH_5_29,BH,5,29,Low,511.4294422,37.40985,-119.96458,44,508,552,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H2,29,A,IH_7_14,IH,7,14,Low,454.1298385,39.09332,-120.92114,0,0,0,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,38.5325,-121.783,16,97396.347224609,-438.1298385
H2,32,C,SC_6_3,SC,6,3,Low,421.5178299,38.41167,-120.73583000000001,34,26,60,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H2,33,B,BH_4_7,BH,4,7,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
