"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw"
"119","D2","D",23,"C","SQ3",4,11,NA,NA,NA,NA,NA,82,"UCD",23,2373.170732,36.72109,0.372124172309874,0.514628301738426,NA,NA,NA,NA,NA,NA,NA
"120","D2","D",23,"D","SQ2",6,3,NA,NA,NA,NA,NA,82,"UCD",23,1934.45122,36.66557,0.281133976675751,0.445796225030837,NA,NA,NA,NA,NA,NA,NA
"121","D2","D",24,"C","IH",4,11,NA,NA,NA,NA,NA,155,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"122","D2","D",24,"D","LV3",4,12,NA,NA,NA,NA,NA,68,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"123","D2","D",25,"C","WL1",2,1,NA,NA,NA,NA,NA,61,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"124","D2","D",25,"D","FR",6,10,NA,NA,NA,NA,NA,110,"UCD",23,787,40.01362,0.239151439459641,0.34940191931494,NA,NA,NA,NA,NA,NA,NA
"125","D2","D",26,"C","WL1",4,11,NA,NA,NA,NA,NA,82,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"126","D2","D",26,"D","SC",5,11,NA,NA,NA,NA,NA,96,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,NA,NA,NA,NA,NA,NA,NA
"127","D2","D",27,"C","BH",7,5,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"128","D2","D",27,"D","SC",4,10,NA,NA,NA,NA,NA,96,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,NA,NA,NA,NA,NA,NA,NA
"129","D2","D",28,"C","FR",2,9,NA,NA,NA,NA,NA,82,"UCD",23,787,40.01362,0.239151439459641,0.34940191931494,NA,NA,NA,NA,NA,NA,NA
"130","D2","D",28,"D","FR",1,6,NA,NA,NA,NA,NA,75,"UCD",23,787,40.01362,0.239151439459641,0.34940191931494,NA,NA,NA,NA,NA,NA,NA
"131","D2","D",29,"C","BH",4,13,NA,NA,NA,NA,NA,323,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,0,0
"132","D2","D",29,"D","BH",2,9,186,197,200,282,282,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,2,2
"133","D2","D",30,"C","CP2",5,2,NA,NA,NA,NA,NA,82,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"134","D2","D",30,"D","BH",1,10,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"135","D2","D",31,"C","SQ1",1,11,NA,NA,NA,NA,NA,68,"UCD",23,1921.036585,36.56435,0.298822933866865,0.428463203627982,NA,NA,NA,NA,NA,NA,NA
"136","D2","D",31,"D","LVTR1",6,5,NA,NA,NA,NA,NA,75,"UCD",23,2741.38982,40.47917,0.429906979277767,0.801292769623535,NA,NA,NA,NA,NA,NA,NA
"137","D2","D",32,"C","LV3",7,1,NA,NA,NA,NA,NA,68,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"138","D2","D",32,"D","WL1",3,9,NA,NA,NA,NA,NA,46,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"139","D2","D",33,"C","CP3",12,1,NA,NA,NA,NA,NA,75,"UCD",23,2266.382201,38.70649,0.382851083789011,0.635900006313428,NA,NA,NA,NA,NA,NA,NA
"140","D2","D",33,"D","BH",5,10,NA,NA,NA,NA,NA,46,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"141","D2","D",34,"C","WL1",7,12,NA,NA,NA,NA,NA,82,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"142","D2","D",34,"D","SQ1",6,4,NA,NA,NA,NA,NA,40,"UCD",23,1921.036585,36.56435,0.298822933866865,0.428463203627982,NA,NA,NA,NA,NA,NA,NA
"143","D2","D",35,"C","SC",6,11,NA,NA,NA,NA,NA,89,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,NA,NA,NA,NA,NA,NA,NA
"144","D2","D",35,"D","BH",3,6,155,172,176,214,211,282,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,286,319
"145","D2","D",36,"C","IH",4,1,NA,NA,NA,NA,NA,82,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
