"block","row","col","pop","mf","rep","bud.date","flower.date","fruit.date","last.FR.date","last.FL.date","death.date","Notes","planting_date","bud.date_dt","flower.date_dt","fruit.date_dt","last.FR.date_dt","last.FL.date_dt","death.date_dt"
"D1",15,"D","WL1",6,20,NA,NA,NA,NA,NA,2023-01-06,NA,2022-11-27,NA,NA,NA,NA,NA,40
"D1",16,"C","CC",2,5,NA,NA,NA,NA,NA,2023-01-27,NA,2022-11-27,NA,NA,NA,NA,NA,61
"D1",16,"D","LV3",2,1,NA,NA,NA,NA,NA,2023-01-12,NA,2022-11-27,NA,NA,NA,NA,NA,46
"D1",17,"C","BH",5,14,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D1",17,"D","IH",7,12,NA,NA,NA,NA,NA,2023-05-15,NA,2022-11-27,NA,NA,NA,NA,NA,169
"D1",18,"C","WL1",7,25,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"D1",18,"D","BH",3,5,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D1",19,"C","SQ2",8,1,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"D1",19,"D","BH",5,9,NA,NA,NA,NA,NA,2023-05-15,NA,2022-11-27,NA,NA,NA,NA,NA,169
"D1",20,"C","WL1",7,11,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D1",20,"D","YO8",3,12,NA,NA,NA,NA,NA,2023-01-27,NA,2022-11-27,NA,NA,NA,NA,NA,61
"D1",21,"C","SC",5,10,NA,NA,NA,NA,NA,2023-03-24,NA,2022-11-27,NA,NA,NA,NA,NA,117
"D1",21,"D","FR",8,2,NA,NA,NA,NA,NA,2022-11-30,NA,2022-11-27,NA,NA,NA,NA,NA,3
"D2",22,"C","BH",7,18,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",22,"D","LV3",7,13,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",23,"C","SQ3",4,11,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",23,"D","SQ2",6,3,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",24,"C","IH",4,11,NA,NA,NA,NA,NA,2023-05-01,NA,2022-11-27,NA,NA,NA,NA,NA,155
