block,BedLoc,bed,bed.row,bed.col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,Total_Fitness,logTotalFitness
C,B_47_C,B,47,C,YO7_4_6,YO7,4,6,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,80,4.382026634673881
B,B_56_C,B,56,C,TM2_1_3,TM2,1,3,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,125,4.8283137373023015
B,B_57_D,B,57,D,BH_2_4,BH,2,4,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,24,3.1780538303479458
E,C_22_B,C,22,B,BH_6_7,BH,6,7,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,11,2.3978952727983707
E,C_40_B,C,40,B,BH_1_7,BH,1,7,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,5,1.6094379124341003
E,C_45_A,C,45,A,BH_7_7,BH,7,7,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,3,1.0986122886681098
E,C_47_B,C,47,B,IH_2_7,IH,2,7,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,9,2.1972245773362196
F,C_54_B,C,54,B,TM2_1_14,TM2,1,14,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,9,2.1972245773362196
F,C_55_A,C,55,A,YO7_1_4,YO7,1,4,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,53,3.970291913552122
D,C_2_C,C,2,C,SC_5_6,SC,5,6,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.87463150152,1598.4821701,1,0
D,C_2_D,C,2,D,CC_9_6,CC,9,6,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,10,2.302585092994046
E,C_23_D,C,23,D,TM2_4_12,TM2,4,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,19,2.9444389791664403
E,C_30_C,C,30,C,BH_4_7,BH,4,7,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,11,2.3978952727983707
E,C_32_D,C,32,D,TM2_7_12,TM2,7,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
E,C_33_C,C,33,C,TM2_2_5,TM2,2,5,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
E,C_37_C,C,37,C,CC_2_7,CC,2,7,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,43,3.7612001156935624
E,C_38_C,C,38,C,YO7_1_3,YO7,1,3,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,3,1.0986122886681098
F,C_53_D,C,53,D,TM2_7_13,TM2,7,13,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
F,D_40_B,D,40,B,BH_7_8,BH,7,8,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,6,1.791759469228055
F,D_51_C,D,51,C,IH_1_8,IH,1,8,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,28,3.332204510175204
F,D_55_C,D,55,C,SC_4_8,SC,4,8,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.87463150152,1598.4821701,10,2.302585092994046
H,E_8_B,E,8,B,TM2_6_2,TM2,6,2,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,5,1.6094379124341003
H,E_21_A,E,21,A,CC_5_10,CC,5,10,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,2,0.6931471805599453
H,E_23_B,E,23,B,WR_3_2,WR,3,2,Mid,1158,39.34346,-120.80659,0.3856348150917765,0.3999355834993617,0.4181980378714992,0.40746707427357715,74991.7057889629,862,30,3.4011973816621555
H,E_25_B,E,25,B,TM2_1_15,TM2,1,15,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,7,1.9459101490553132
H,E_29_A,E,29,A,TM2_1_9,TM2,1,9,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
H,E_44_B,E,44,B,SC_4_10,SC,4,10,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.87463150152,1598.4821701,27,3.295836866004329
I,E_46_B,E,46,B,IH_3_11,IH,3,11,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,11,2.3978952727983707
I,E_47_A,E,47,A,BH_4_11,BH,4,11,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,20,2.995732273553991
I,E_48_A,E,48,A,SC_5_11,SC,5,11,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.87463150152,1598.4821701,4,1.3862943611198906
I,E_49_A,E,49,A,YO7_4_3,YO7,4,3,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,7,1.9459101490553132
I,E_49_B,E,49,B,TM2_6_4,TM2,6,4,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
H,E_20_D,E,20,D,BH_2_10,BH,2,10,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,32,3.4657359027997265
I,E_50_D,E,50,D,IH_5_11,IH,5,11,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,4,1.3862943611198906
I,F_24_A,F,24,A,TM2_2_4,TM2,2,4,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,10,2.302585092994046
I,F_26_A,F,26,A,WL2_8_4,WL2,8,4,High,2020.115818,38.8263,-120.25242,0.24160936486271645,0.2512423416542824,0.3959884299493191,0.4251656806811333,136.2621716836303,-0.1158179999999902,5,1.6094379124341003
I,F_42_B,F,42,B,CC_3_11,CC,3,11,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,6,1.791759469228055
I,F_23_C,F,23,C,SC_2_23,SC,2,23,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.87463150152,1598.4821701,8,2.0794415416798357
I,F_43_C,F,43,C,CC_9_11,CC,9,11,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,1,0
J,G_8_A,G,8,A,YO7_6_15,YO7,6,15,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,15,2.70805020110221
K,G_39_A,G,39,A,TM2_7_17,TM2,7,17,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
K,G_40_A,G,40,A,TM2_3_7,TM2,3,7,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
K,G_43_A,G,43,A,IH_6_13,IH,6,13,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,1,0
J,G_5_D,G,5,D,YO7_5_7,YO7,5,7,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,5,1.6094379124341003
J,G_6_D,G,6,D,IH_2_12,IH,2,12,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,7,1.9459101490553132
J,G_7_D,G,7,D,BH_4_12,BH,4,12,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,1508.5705578,18,2.8903717578961645
K,G_27_C,G,27,C,YO7_6_9,YO7,6,9,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,8,2.0794415416798357
K,G_31_C,G,31,C,TM2_7_5,TM2,7,5,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
K,G_32_D,G,32,D,WL2_7_6,WL2,7,6,High,2020.115818,38.8263,-120.25242,0.24160936486271645,0.2512423416542824,0.3959884299493191,0.4251656806811333,136.2621716836303,-0.1158179999999902,3,1.0986122886681098
K,H_21_B,H,21,B,TM2_1_12,TM2,1,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
K,H_27_A,H,27,A,TM2_6_10,TM2,6,10,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
K,H_31_A,H,31,A,YO7_4_11,YO7,4,11,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,7,1.9459101490553132
