"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"60","C","B",43,"D","TM2",7,10,14,28,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,15,2.70805020110221,15,35,14,NA,NA,NA,1
"61","F","C",54,"B","TM2",1,14,14,28,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,9,2.19722457733622,9,11,14,NA,NA,NA,1
"62","E","C",32,"D","TM2",7,12,14,28,35,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,6,14,NA,NA,NA,1
"63","E","C",33,"C","TM2",2,5,21,42,63,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,6,21,NA,NA,NA,1
"64","F","C",53,"D","TM2",7,13,14,28,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,2,0.693147180559945,2,9,14,NA,NA,NA,1
"65","H","E",8,"B","TM2",6,2,21,35,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,5,1.6094379124341,5,6,14,NA,NA,NA,1
"66","H","E",25,"B","TM2",1,15,21,56,86,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,7,1.94591014905531,7,16,35,NA,NA,NA,1
"67","H","E",29,"A","TM2",1,9,21,28,56,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,2,0.693147180559945,2,5,7,NA,NA,NA,1
"68","I","E",48,"D","TM2",1,10,14,28,NA,NA,NA,49,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,14,NA,NA,NA,1
"69","J","F",2,"B","TM2",1,11,28,49,63,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,21,NA,NA,NA,1
"70","I","F",24,"A","TM2",2,4,21,42,56,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,10,2.30258509299405,10,14,21,NA,NA,NA,1
"71","J","F",4,"C","TM2",7,4,14,49,56,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,35,NA,NA,NA,1
"72","I","F",21,"D","FR",7,11,42,NA,NA,NA,NA,NA,"WL2",23,787,40.01362,0.420203674438613,0.559367733846736,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"73","K","G",39,"A","TM2",7,17,28,63,86,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,7,35,NA,NA,NA,1
