loc,bed,row,col,block,pop,mf,rep,Genotype,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,WL2_Lat,WL2_Long,WL2_Elev,Geographic_Dist,Elev_Dist,ProbFruits
C_45_A,C,45,A,E,BH,7,7,BH_7_7,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
C_47_B,C,47,B,E,IH,2,7,IH_2_7,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,1
C_55_A,C,55,A,F,YO7,1,4,YO7_1_4,High,2469.978665,37.80903,-119.56605,0.35348538327998885,0.34322189186049695,0.3278142543551394,0.31317642544210694,38.82599,-120.2509,2020,128036.86977041698,-449.9786650000001,1
C_2_C,C,2,C,D,SC,5,6,SC_5_6,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,1
C_2_D,C,2,D,D,CC,9,6,CC_9_6,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,1
C_23_D,C,23,D,E,TM2,4,12,TM2_4_12,Low,379.1526973,39.59255,-121.55072,0.5655470039740155,0.5659562962531037,0.406282424823454,0.3858797856421098,38.82599,-120.2509,2020,140893.43148019144,1640.8473027,1
C_30_C,C,30,C,E,BH,4,7,BH_4_7,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,38.82599,-120.2509,2020,159625.59620443787,1508.5705578,1
C_37_C,C,37,C,E,CC,2,7,CC_2_7,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,1
C_38_C,C,38,C,E,YO7,1,3,YO7_1_3,High,2469.978665,37.80903,-119.56605,0.35348538327998885,0.34322189186049695,0.3278142543551394,0.31317642544210694,38.82599,-120.2509,2020,128036.86977041698,-449.9786650000001,1
D_3_B,D,3,B,G,IH,5,9,IH_5_9,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,38.82599,-120.2509,2020,65203.39531640123,1565.8701615,0
D_19_A,D,19,A,G,TM2,7,18,TM2_7_18,Low,379.1526973,39.59255,-121.55072,0.5655470039740155,0.5659562962531037,0.406282424823454,0.3858797856421098,38.82599,-120.2509,2020,140893.43148019144,1640.8473027,0
D_19_B,D,19,B,G,CC,4,9,CC_4_9,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,38.82599,-120.2509,2020,132498.41828627142,1707,0
D_21_A,D,21,A,G,SC,5,9,SC_5_9,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,38.82599,-120.2509,2020,62498.874631501516,1598.4821701,0
