block,loc,bed,row,col,pop,mf,rep,unique.ID
C,C_48_D,C,48,D,(LV1 x WL2) x (TM2 x WL2),NA,4,946
C,C_49_C,C,49,C,SQ3,NA,16,37
C,C_49_D,C,49,D,TM2,NA,48,518
C,C_50_C,C,50,C,NA,NA,NA,NA
C,C_50_D,C,50,D,NA,NA,NA,NA
C,C_51_C,C,51,C,NA,NA,NA,NA
C,C_51_D,C,51,D,(TM2 x BH) x (BH),NA,12,754
D,C_52_C,C,52,C,(TM2 x BH) x (TM2),NA,13,1062
NA,C_52_D,C,52,D,TM2,7,13,TM2_7_13
D,C_53_C,C,53,C,LV1,NA,4,4
D,C_53_D,C,53,D,(WL2 x CC) x (WL2 x TM2),NA,11,1188
D,C_54_C,C,54,C,(SQ3 x WL2) x (TM2 x WL2),NA,7,885
D,C_54_D,C,54,D,TM2,NA,56,526
D,C_55_C,C,55,C,WV x TM2,NA,10,202
D,C_55_D,C,55,D,(WL1 x TM2) x (WL2 x TM2),NA,1,321
D,C_56_C,C,56,C,(YO11 x WL2) x (WV x WL2),NA,4,842
D,C_56_D,C,56,D,(TM2 x WL2) x (YO11 x WL2),NA,4,376
D,C_57_C,C,57,C,(LV1 x WL2) x (WL2 x DPR),NA,2,957
D,C_57_D,C,57,D,(WL1 x WL2) x (WL2 x TM2),NA,3,1148
D,C_58_C,C,58,C,LV1,NA,21,21
D,C_58_D,C,58,D,WL2,NA,81,176
D,C_59_C,C,59,C,NA,NA,NA,buffer
D,C_59_D,C,59,D,NA,NA,NA,buffer
D,C_60_C,C,60,C,NA,NA,NA,buffer
D,C_60_D,C,60,D,NA,NA,NA,buffer
D,D_1_A,D,1,A,NA,NA,NA,buffer
D,D_1_B,D,1,B,NA,NA,NA,buffer
D,D_2_A,D,2,A,NA,NA,NA,buffer
D,D_2_B,D,2,B,NA,NA,NA,buffer
D,D_3_A,D,3,A,NA,NA,NA,buffer
NA,D_3_B,D,3,B,IH,5,9,IH_5_9
D,D_4_A,D,4,A,(DPR) x (DPR x WL2),NA,14,724
D,D_4_B,D,4,B,(WL2) x (DPR x WL2),NA,12,906
D,D_5_A,D,5,A,LV1 x TM2,NA,6,1230
D,D_6_B,D,6,B,(SQ3 x WL2) x (WL2),NA,11,90
D,D_8_A,D,8,A,WL2,NA,6,101
D,D_9_A,D,9,A,(TM2 x BH) x (TM2 x BH),NA,16,1350
D,D_9_B,D,9,B,(YO11 x WL2) x (WL2),NA,11,937
D,D_10_A,D,10,A,(WV x WL2) x (WV),NA,16,283
D,D_10_B,D,10,B,DPR,NA,8,436
D,D_11_A,D,11,A,WL2,NA,18,113
D,D_11_B,D,11,B,TM2,NA,76,546
D,D_12_A,D,12,A,NA,NA,NA,NA
D,D_12_B,D,12,B,NA,NA,NA,NA
D,D_13_A,D,13,A,NA,NA,NA,NA
D,D_13_B,D,13,B,WL1,NA,21,304
NA,D_14_A,D,14,A,IH,7,9,IH_7_9
E,D_14_B,D,14,B,LV1,NA,5,5
E,D_15_A,D,15,A,WL2,NA,24,119
E,D_15_B,D,15,B,(SQ3 x WL2) x (WL2),NA,12,91
E,D_16_A,D,16,A,(WV x WL2) x (WV),NA,1,268
E,D_16_B,D,16,B,(WL2 x DPR) x (WL2),NA,10,1107
NA,D_17_A,D,17,A,CC,9,9,CC 9 9
E,D_17_B,D,17,B,WL2,NA,67,162
E,D_18_A,D,18,A,WV x TM2,NA,11,203
E,D_18_B,D,18,B,BH,NA,17,403
NA,D_19_A,D,19,A,TM2,7,18,TM2_7_18
NA,D_19_B,D,19,B,CC,4,9,CC_4_9
E,D_20_A,D,20,A,(LV1 x WL2) x (YO11 x WL2),NA,3,988
E,D_20_B,D,20,B,WL2,NA,46,141
NA,D_21_A,D,21,A,SC,5,9,SC_5_9
E,D_21_B,D,21,B,(YO11 x WL2) x (WL2 x TM2),NA,11,798
E,D_22_A,D,22,A,WV,NA,18,467
E,D_22_B,D,22,B,BH x TM2,NA,23,607
E,D_23_A,D,23,A,LV1 x TM2,NA,7,1231
E,D_23_B,D,23,B,SQ3,NA,1,22
E,D_24_A,D,24,A,(LV1 x WL2) x (WL2 x DPR),NA,14,969
NA,D_24_B,D,24,B,IH,1,9,IH_1_9
E,D_25_A,D,25,A,DPR,NA,19,447
E,D_25_B,D,25,B,(TM2 x WL2) x (WL2),NA,2,358
E,D_26_A,D,26,A,(LV1 x WL2) x (TM2 x WL2),NA,8,950
E,D_26_B,D,26,B,WL2,NA,53,148
E,D_27_A,D,27,A,(WV) x (WV x WL2),NA,15,1401
E,D_27_B,D,27,B,(TM2 x BH) x (BH),NA,14,756
E,D_28_A,D,28,A,TM2,NA,25,495
E,D_28_B,D,28,B,LV1 x TM2,NA,20,1244
E,D_29_A,D,29,A,(LV1 x WL2) x (WL2),NA,12,75
