block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,Establishment,SurvtoRep_Y1,flowers,fruits,Total_Fitness,ProbFruits
J2,31,A,TM2_4_12,TM2,4,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,8,250,250,1
J2,33,B,TM2_2_6,TM2,2,6,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
J2,37,B,BH_1_7,BH,1,7,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,15,31,31,1
J1,10,C,BH_3_1,BH,3,1,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,23,134,134,1
J1,13,C,TM2_6_7,TM2,6,7,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,20,546,546,1
J1,19,C,BH_5_20,BH,5,20,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,149,422,422,1
J2,23,D,BH_4_9,BH,4,9,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,3,44,44,1
J2,25,D,BH_2_5,BH,2,5,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,21,137,137,1
L1,4,A,SC_5_8,SC,5,8,Low,421.5178299,38.41167,-120.73583000000001,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,92249.6541866876,-405.5178299,1,1,NA,0,0,0
L1,10,A,BH_2_14,BH,2,14,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,6,4,4,1
L1,15,B,TM2_3_12,TM2,3,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
L1,18,A,TM2_7_11,TM2,7,11,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,NA,0,0,0
L2,30,A,TM2_1_12,TM2,1,12,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,10,0,0,0
L2,34,B,TM2_5_8,TM2,5,8,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,21,8,8,1
L2,35,A,TM2_4_9,TM2,4,9,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,44,452,452,1
L1,3,C,SQ3_4_3,SQ3,4,3,High,2373.170732,36.72109,-118.84933,0.3721241723098737,0.3789304000925028,0.5146283017384257,0.5639141526227397,327931.23361382366,-2357.170732,1,1,6,1,1,1
L1,4,D,BH_4_10,BH,4,10,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,28,80,80,1
L1,13,C,BH_3_13,BH,3,13,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,54,301,301,1
L1,13,D,BH_5_22,BH,5,22,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,10,4,4,1
L2,30,D,TM2_3_4,TM2,3,4,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,1,1,51,27,27,1
L2,41,D,BH_4_1,BH,4,1,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,1,1,22,1,1,1
