"block","bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","survey.notes","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","missing.date_dt"
NA,"C",45,"A","BH_7_7",2024-06-18,2024-07-09,2024-07-16,2024-08-13,2024-08-20,2024-09-24,NA,"7/16 one dead stem 8/6 reproductive stem broke 8/20 tape","BH","7","7",30,51,58,86,93,128,NA
NA,"C",47,"B","IH_2_7",2024-07-09,2024-07-23,2024-07-30,2024-08-27,2024-08-27,2024-08-27,NA,"8/20 tape 8/27 branch Snopped","IH","2","7",51,65,72,100,100,100,NA
NA,"C",53,"B","IH_3_8",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","3","8",NA,NA,NA,NA,NA,30,NA
NA,"C",54,"B","TM2_1_14",NA,NA,NA,NA,NA,NA,NA,"TM2 Fruiting from 2023 / one seedling","TM2","1","14",NA,NA,NA,NA,NA,NA,NA
NA,"C",55,"A","YO7_1_4",2024-06-18,2024-06-18,2024-07-02,2024-07-30,2024-08-06,2024-09-03,NA,"Dying buds 8/13/24 dehissed","YO7","1","4",30,30,44,72,79,107,NA
NA,"C",2,"C","SC_5_6",NA,2024-07-23,2024-07-30,2024-08-27,2024-08-27,NA,NA,"mistakenly coded as buffer before in 7/23 8/20 tape /10/2 new flowers and buds; initial fruit failed ; 10/9 taped","SC","5","6",NA,65,72,100,100,NA,NA
NA,"C",2,"D","CC_9_6",NA,NA,2024-07-23,2024-08-27,2024-08-27,NA,NA,"mistakenly coded as buffer before 7/23 8/20 tape/10/2 new flowers and buds; 10/9 taped","CC","9","6",NA,NA,65,100,100,NA,NA
NA,"C",10,"D","BH_3_6",NA,NA,NA,NA,NA,2024-07-16,NA,"6/18/24 No tag/ 7/2 stem broken at base","BH","3","6",NA,NA,NA,NA,NA,58,NA
NA,"C",23,"D","TM2_4_12",2024-06-18,2024-07-16,2024-07-23,2024-08-20,2024-08-20,2024-09-03,NA,"Crispy flowers 8/20 tape","TM2","4","12",30,58,65,93,93,107,NA
NA,"C",30,"C","BH_4_7",2024-06-25,2024-07-09,2024-07-16,2024-08-27,2024-09-03,2024-10-16,NA,"9/24 near death 8/20 tape 8/27 Side veg brunch /10/2 initial fruit failed","BH","4","7",37,51,58,100,107,150,NA
NA,"C",32,"D","TM2_7_12",NA,NA,NA,NA,NA,NA,NA,"TM2 Fruiting from 2023","TM2","7","12",NA,NA,NA,NA,NA,NA,NA
NA,"C",33,"C","TM2_2_5",NA,NA,NA,NA,NA,NA,NA,"TM2 Fruiting from 2023","TM2","2","5",NA,NA,NA,NA,NA,NA,NA
NA,"C",37,"C","CC_2_7",2024-06-18,2024-07-02,2024-07-16,2024-08-27,2024-08-27,2024-10-02,NA,"8/20 tape","CC","2","7",30,44,58,100,100,136,NA
NA,"C",38,"C","YO7_1_3",2024-06-18,2024-06-18,2024-07-02,2024-07-09,2024-07-16,2024-08-27,NA,"8/6 Fruit 2 vegetative branches drving","YO7","1","3",30,30,44,51,58,100,NA
NA,"C",52,"D","TM2_7_13",NA,NA,NA,NA,NA,NA,NA,"TM2 Fruiting from 2023 / 1 seedling / last year's notes say C_53_D","TM2","7","13",NA,NA,NA,NA,NA,NA,NA
NA,"D",3,"B","IH_5_9",2024-07-02,2024-07-30,NA,NA,NA,NA,NA,"7/23 mistakenly coded as buffer before; 8/13 repro. stem broken, tiny; 10/2 new buds; 10/9 flowering","IH","5","9",44,72,NA,NA,NA,NA,NA
NA,"D",14,"A","IH_7_9",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","7","9",NA,NA,NA,NA,NA,30,NA
NA,"D",17,"A","CC_9_9",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"CC","9","9",NA,NA,NA,NA,NA,30,NA
NA,"D",19,"A","TM2_7_18",2024-06-25,2024-07-23,2024-08-06,2024-09-03,2024-10-23,NA,NA,"9/17 has buds / partial harvest 10/9 ph/new flowers","TM2","7","18",37,65,79,107,157,NA,NA
NA,"D",19,"B","CC_4_9",2024-06-25,2024-07-16,2024-07-23,NA,NA,2024-08-27,NA,"stem broken 8/13 stem snapped and no leaves 8/20 harvest","CC","4","9",37,58,65,NA,NA,100,NA
NA,"D",21,"A","SC_5_9",2024-06-25,NA,NA,NA,NA,2024-07-23,NA,"7/16 Wilting","SC","5","9",37,NA,NA,NA,NA,65,NA
NA,"D",24,"B","IH_1_9",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","1","9",NA,NA,NA,NA,NA,30,NA
NA,"D",40,"B","BH_7_8",2024-06-25,2024-07-02,2024-07-16,2024-07-23,2024-08-06,2024-09-03,NA,"8/13/24 tape fruit","BH","7","8",37,44,58,65,79,107,NA
NA,"D",25,"C","CC_2_9",2024-07-09,NA,NA,NA,NA,2024-07-23,NA,"6/25/24 stem snapped","CC","2","9",51,NA,NA,NA,NA,65,NA
NA,"D",26,"C","SC_8_15",2024-06-25,2024-07-23,2024-07-30,2024-08-27,2024-08-27,2024-10-09,NA,"8/20 tape","SC","8","15",37,65,72,100,100,143,NA
NA,"D",40,"C","IH_5_8",NA,NA,NA,NA,NA,2024-07-02,NA,"6/25/24 wilting","IH","5","8",NA,NA,NA,NA,NA,44,NA
NA,"D",51,"C","IH_1_8",2024-06-25,2024-07-16,2024-07-23,2024-08-27,2024-08-27,2024-10-16,NA,"8/20 tape 9/17 tape /harvest","IH","1","8",37,58,65,100,100,150,NA
NA,"D",55,"C","SC_4_8",2024-06-25,2024-07-09,2024-07-23,2024-08-13,2024-08-20,2024-10-02,NA,"9/17 harvest 8/20 tape Wilting flowers/ lots of grass","SC","4","8",37,51,65,86,93,136,NA
NA,"E",8,"B","TM2_6_2",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","6","2",NA,NA,NA,NA,NA,NA,NA
NA,"E",21,"A","CC_5_10",2024-06-25,2024-07-02,2024-07-16,2024-08-13,NA,2024-08-27,NA,"8/13/24 tape fruit 8/27 branch snapped at base 8/27 collected fruit","CC","5","10",37,44,58,86,NA,100,NA
NA,"E",22,"A","IH_2_10",2024-07-16,NA,NA,NA,NA,2024-07-30,NA,"7/23 wilted","IH","2","10",58,NA,NA,NA,NA,72,NA
NA,"E",23,"B","WR_3_2",2024-06-25,2024-07-16,2024-07-23,2024-08-27,2024-08-27,2024-10-02,NA,"7/16 Snapped side stem/small flowers 8/20 tape","WR","3","2",37,58,65,100,100,136,NA
NA,"E",25,"B","TM2_1_15",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","1","15",NA,NA,NA,NA,NA,NA,NA
NA,"E",29,"A","TM2_1_9",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","1","9",NA,NA,NA,NA,NA,NA,NA
NA,"E",44,"B","SC_4_10",2024-06-25,2024-07-16,2024-07-16,2024-08-27,2024-08-27,NA,NA,"8/20 tape","SC","4","10",37,58,58,100,100,NA,NA
NA,"E",46,"B","IH_3_11",2024-07-02,2024-07-30,2024-08-06,2024-08-27,2024-09-03,2024-10-16,NA,"8/20 tape 10/9 harvested","IH","3","11",44,72,79,100,107,150,NA
NA,"E",47,"A","BH_4_11",2024-06-25,2024-07-16,2024-07-16,2024-08-13,2024-08-13,2024-09-10,NA,"9/3 missing tag/ uprooted","BH","4","11",37,58,58,86,86,114,NA
NA,"E",48,"A","SC_5_11",2024-06-25,2024-07-30,2024-08-13,2024-08-27,2024-09-03,2024-10-09,NA,"10/9 harvested","SC","5","11",37,72,86,100,107,143,NA
NA,"E",49,"A","YO7_4_3",2024-06-18,2024-06-25,2024-07-16,2024-08-06,2024-08-13,NA,NA,"6/25/24 started budding last week","YO7","4","3",30,37,58,79,86,NA,NA
NA,"E",49,"B","TM2_6_4",2024-06-25,2024-07-23,2024-07-23,2024-08-27,2024-08-27,2024-10-09,NA,"7/23 missed FL date 8/20 tape 10/9 harvested","TM2","6","4",37,65,65,100,100,143,NA
NA,"E",20,"D","BH_2_10",2024-06-25,2024-07-02,2024-07-16,2024-08-13,2024-08-13,2024-09-10,NA,"8/20 tape 9/10 end of life cycle","BH","2","10",37,44,58,86,86,114,NA
NA,"E",21,"C","YO7_5_5",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"YO7","5","5",NA,NA,NA,NA,NA,30,NA
NA,"E",23,"C","BH_1_10",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"BH","1","10",NA,NA,NA,NA,NA,30,NA
NA,"E",23,"D","IH_5_10",2024-06-25,2024-07-16,NA,NA,NA,2024-08-06,NA,"7/23 dying","IH","5","10",37,58,NA,NA,NA,79,NA
NA,"E",27,"C","BH_4_10",2024-06-25,2024-07-16,2024-07-23,2024-08-27,2024-09-03,2024-10-09,NA,"5/20 tape","BH","4","10",37,58,65,100,107,143,NA
NA,"E",29,"D","IH_4_10",2024-06-25,2024-07-23,2024-07-30,2024-08-27,2024-09-03,NA,NA,"8/20 tape/ 10/2 new buds/ 10/9 taped","IH","4","10",37,65,72,100,107,NA,NA
NA,"E",43,"D","IH_1_10",2024-06-25,2024-07-23,2024-07-30,2024-08-13,2024-08-13,2024-09-03,NA,NA,"IH","1","10",37,65,72,86,86,107,NA
NA,"E",50,"D","IH_5_11",2024-06-25,2024-07-16,2024-07-23,2024-08-06,2024-08-06,2024-08-27,NA,"8/13/24 Harvest fruit","IH","5","11",37,58,65,79,79,100,NA
NA,"F",7,"B","IH_1_12",2024-06-25,2024-07-16,NA,NA,NA,NA,NA,"10/9 new leaves 8/6 No leaves or buds 8/27 dying","IH","1","12",37,58,NA,NA,NA,NA,NA
NA,"F",24,"A","TM2_2_4",NA,NA,NA,NA,NA,2024-07-23,NA,"mistakenly coded as TM2-fruiting prior 7/23 / had fruits in 2023 and survived winter maybe dead earlier","TM2","2","4",NA,NA,NA,NA,NA,65,NA
NA,"F",26,"A","WL2_8_4",NA,2024-06-25,2024-07-02,2024-07-23,NA,2024-08-27,NA,"6/25/24 was budding last week/not marked 8/13 Harvest fruit 8/27 FR","WL2","8","4",NA,37,44,65,NA,100,NA
NA,"F",42,"B","CC_3_11",2024-06-18,2024-07-16,2024-07-23,2024-08-13,2024-08-13,2024-10-09,NA,"7/16 tiny flowers 8/2 tape","CC","3","11",30,58,65,86,86,143,NA
NA,"F",43,"B","CC_8_11",2024-06-25,2024-07-23,NA,2024-08-27,NA,2024-09-17,NA,"8/27 no Fruits / 9/17 no leaves/buds; removed last FR date of 9/17 since there were no fruits","CC","8","11",37,65,NA,100,NA,121,NA
NA,"F",8,"C","SC_6_12",NA,NA,NA,NA,NA,NA,NA,NA,"SC","6","12",NA,NA,NA,NA,NA,NA,NA
NA,"F",23,"C","SC_2_23",2024-07-02,2024-07-23,2024-07-30,NA,2024-08-27,2024-09-17,NA,"8/20 tape 9/10 harvested","SC","2","23",44,65,72,NA,100,121,NA
NA,"F",43,"C","CC_9_11",2024-06-18,2024-07-02,2024-08-13,2024-08-13,2024-08-20,2024-09-17,NA,"7/23 FLS dead","CC","9","11",30,44,86,86,93,121,NA
NA,"F",44,"C","IH_4_11",NA,NA,NA,NA,NA,NA,NA,NA,"IH","4","11",NA,NA,NA,NA,NA,NA,NA
NA,"G",5,"B","IH_4_12",NA,NA,NA,NA,NA,2024-06-18,NA,"no leaves","IH","4","12",NA,NA,NA,NA,NA,30,NA
NA,"G",8,"A","YO7_6_15",2024-06-18,2024-06-25,2024-07-02,2024-08-13,2024-08-13,2024-10-09,NA,"7/16 remaining flowers are dry 7/23 healthy buds 8/6/24 fruits dving 8/13 fruit dehiscing 9/17 harvest/9/24 still","YO7","6","15",30,37,44,86,86,143,NA
NA,"G",31,"A","BH_7_13",2024-06-25,2024-07-16,2024-07-23,NA,NA,2024-08-06,NA,"7/16 dry damaged 7/30 flowers plant dying","BH","7","13",37,58,65,NA,NA,79,NA
NA,"G",37,"A","YO7_7_9",2024-06-18,2024-06-25,2024-07-02,2024-07-16,2024-08-20,NA,NA,"7/16 dry flowers very tiny 8/27 all fruit frail / 9/24 some veg branches","YO7","7","9",30,37,44,58,93,NA,NA
NA,"G",39,"A","TM2_7_17",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","7","17",NA,NA,NA,NA,NA,NA,NA
NA,"G",40,"A","TM2_3_7",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","3","7",NA,NA,NA,NA,NA,NA,NA
NA,"G",43,"A","IH_6_13",2024-06-25,2024-07-23,2024-07-30,2024-08-27,2024-08-27,2024-09-17,NA,"9/17 harvest","IH","6","13",37,65,72,100,100,121,NA
NA,"G",5,"D","YO7_5_7",2024-06-18,2024-07-09,2024-07-16,2024-07-23,2024-07-30,NA,NA,"assume yellow pick from 7/9 / /8/13 harvested fruit / 9/24 Still some veg","YO7","5","7",30,51,58,65,72,NA,NA
NA,"G",6,"D","IH_2_12",2024-06-25,2024-07-16,2024-07-23,2024-08-27,2024-09-03,2024-10-23,NA,"8/20 tape","IH","2","12",37,58,65,100,107,157,NA
NA,"G",7,"D","BH_4_12",2024-06-25,2024-07-16,2024-07-16,2024-08-13,2024-08-13,2024-09-03,NA,"8/20 tape 8/27 harvested","BH","4","12",37,58,58,86,86,107,NA
NA,"G",12,"D","CC_5_12",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"CC","5","12",NA,NA,NA,NA,NA,30,NA
NA,"G",27,"C","YO7_6_9",2024-06-18,2024-06-25,2024-07-02,2024-08-13,2024-08-13,2024-09-10,NA,"8/20 tape 8/6 dehiscing but still has buds","YO7","6","9",30,37,44,86,86,114,NA
NA,"G",31,"C","TM2_7_5",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","7","5",NA,NA,NA,NA,NA,NA,NA
NA,"G",32,"D","WL2_7_6",2024-06-18,2024-07-02,2024-07-09,2024-07-16,2024-08-27,2024-10-09,NA,"7/16 flowers small/ crispy 7/30 new buds emerging 9/10 no fruit 9/24 still","WL2","7","6",30,44,51,58,100,143,NA
NA,"G",40,"C","BH_2_13",2024-06-18,2024-07-02,2024-07-16,2024-08-06,2024-08-13,2024-09-17,NA,"8/20 tape 8/27 harvested","BH","2","13",30,44,58,79,86,121,NA
NA,"G",42,"C","SC_2_27",NA,NA,NA,NA,NA,2024-06-25,NA,"6/18 Short Stem","SC","2","27",NA,NA,NA,NA,NA,37,NA
NA,"H",5,"A","SC_4_1",NA,NA,NA,NA,NA,2024-07-30,NA,NA,"SC","4","1",NA,NA,NA,NA,NA,72,NA
NA,"H",6,"B","SC_2_26",NA,NA,NA,NA,NA,2024-07-09,NA,NA,"SC","2","26",NA,NA,NA,NA,NA,51,NA
