bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
D,18,D,YO11 x WL2,,,,1,2054
D,19,C,TM2,8,8,,63,1767
D,19,D,DPR,11,11,,3,1644
D,20,C,buffer,,,,,buffer
D,20,D,SQ3,7,7,,16,2399
D,21,C,buffer,,,,,buffer
D,21,D,DPR x WL2,,,,4,1977
D,22,C,YO11,,,,11,53
D,22,D,buffer,,,,,buffer
D,23,C,buffer,,,,,buffer
D,23,D,(SQ3 x WL2) x (DPR x WL2),,,,13,815
D,24,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,27,2265
D,24,D,(WL2) x (WL2 x TM2),3-14_2,3-14,2,6,2461
D,25,C,WL2 x YO11,2-A_11-2,2-A,11-2,1,2047
D,25,D,DPR,20,20,,18,2623
D,26,C,TM2,6,6,,49,1753
D,26,D,BH,3,3,,1,1600
D,27,C,WL2,2,2,,14,1837
D,27,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,45,2283
D,28,C,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,13,2501
D,28,D,(TM2 x WL2) x (TM2),3_1-3,3,1-3,1,2129
D,29,C,BH x WL2,1-3_8-1,1-3,8-1,8,1971
D,29,D,CC,1,1,,1,2617
D,30,C,WL2,2,2,,11,1834
D,30,D,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,6,2451
D,31,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,7,2540
D,31,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,50,2647
D,32,C,WL2 x LV1,2-A_14-A,2-A,14-A,7,2431
D,32,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,14,2526
D,33,C,WL1 x WL2,2-3_2-2,2-3,2-2,2,2422
D,33,D,(TM2 x WL2) x (TM2),3_2-13,3,2-13,16,2601
D,34,C,DPR,11,11,,7,1648
D,34,D,(WV x WL2) x (WL2 x BH),2_2,2,2,3,2345
D,35,C,WV x TM2,,,,12,204
D,35,D,DPR x WL2,,,,3,2479
D,36,C,NA,,,,,NA
D,36,D,(WV x WL2) x (WL2 x CC),3_1,3,1,9,2468
D,37,C,WL2 x YO11,8-1_11-1,8-1,11-1,4,2050
D,37,D,WL2,6,6,,59,1882
D,38,C,TM2 x WL2,,,,6,1997
D,38,D,YO11 x WL2,,,,2,2055
D,39,C,WL2,4,4,,39,1862
D,39,D,(CC x TM2) x (WL2 x TM2),,,,2,1430
D,40,C,(WV x TM2) x (WL2 x TM2),3_1,3,1,1,2340
D,40,D,WV x WL2,,,,2,1404
D,41,C,WL2,9,9,,90,1913
D,41,D,TM2 x WL2,2_2,2,2,2,2484
D,42,C,TM2,,,,21,491
D,42,D,(LV1 x WL2) x (WL2),,,,13,76
D,43,C,(TM2 x WL2) x (WL2),,,,7,363
D,43,D,WL2 x WV,,,,7,2046
D,44,C,(TM2 x WL2) x (YO11 x WL2),,,,13,385
D,44,D,(WL2 x BH) x (WL2 x CC),2_3,2,3,18,2531
D,45,C,DPR,19,19,,21,2624
D,45,D,(WL2 x CC) x (WL2 x BH),1_1,1,1,2,2543
D,46,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,39,2277
D,46,D,BH x WL2,1-3_8-1,1-3,8-1,9,1972
D,47,C,LV1,22,22,,20,1682
D,47,D,(CC x WL2) x (WL2),4_13-B,4,13-B,5,2065
D,48,C,BH,1,1,,16,1615
D,48,D,(WV x WL2) x (WV),20_7-3,20,7-3,2,2369
