pop.id,mf,rep,block,bed,rack,col,row,unique.ID,notes
WL2-10,10,3,B2,B,3,A,30,157,
DPR x TM2,,22,B2,B,3,B,30,446,
SQ3 x WL2,,6,B2,B,3,C,30,580,
TM2 x DPR,,12,B2,B,3,D,30,660,
(TM2 x WL2) x (TM2 x WL2),,7,B2,B,3,A,31,1270,
TM2 x (TM2 X WL2),,20,B2,B,3,B,31,1370,
(LV1 x WL2) x (YO11 x WL2),,6,B2,B,3,C,31,1160,
(TM2 x WL2) x (TM2 x BH),,4,B2,B,3,D,31,1255,
(TM2 x BH) x (TM2 x WL2),,11,B2,B,3,A,32,1242,
WV x WL2,,10,B2,B,3,B,32,1025,
BH x WL2,,18,B2,B,3,C,32,382,
TM2-2,2,8,B2,B,3,D,32,22,
(TM2 x BH) x TM2,,19,B2,B,3,A,33,1230,
TM2 x (TM2 x BH),,11,B2,B,3,B,33,1202,
LV1 x WL2,,4,B2,B,3,C,33,518,
YO11,6,2,B2,B,3,D,33,314,
WL1,8,1,B2,B,3,A,34,358,
LV1,2,4,B2,B,3,B,34,285,
(WL2 x DPR) x DPR,,4,B2,B,3,C,34,1049,
WV x WL2,,22,B2,B,3,D,34,1037,
TM2-3,3,6,B2,B,3,A,35,34,
(YO11 x WL2) x WL2,,7,B2,B,3,B,35,1317,
LV1 x TM2,,7,B2,B,3,C,35,491,
WL2-8,8,7,B2,B,3,D,35,133,
(WL2 x DPR) x WL2,,20,B2,B,3,A,36,1085,
DPR,4,3,B2,B,3,B,36,229,
SQ3 x TM2,,10,B2,B,3,C,36,554,
WL2 x BH,,4,B2,B,3,D,36,783,
TM2 x BH,,6,B2,B,3,A,37,610,
WL1 x WL2,,9,B2,B,3,B,37,839,
(WL2 x DPR) x WL2,,2,B2,B,3,C,37,2028,
DPR x WL2,,20,B2,B,3,D,37,474,
WV x WL2,,2,B2,B,3,A,38,2016,
WV,4,1,B2,B,3,B,38,260,
TM2-7,7,13,B2,B,3,C,38,97,
LV1 x TM2,,21,B2,B,3,D,38,505,
CC x TM2,,18,B2,B,3,A,39,412,
WV x TM2,,4,B2,B,3,B,39,989,
WL2-12,12,11,B2,B,3,C,39,193,
TM2 x WV,,11,B2,B,3,D,39,749,
WV x TM2,,16,B2,B,3,A,40,1001,
TM2 x CC,,6,B2,B,3,B,40,624,
(TM2 x BH) x TM2,,7,B2,B,3,C,40,1218,
WL1 x WL2,,21,B2,B,3,D,40,851,
WL2 x BH,,22,B2,B,3,A,41,801,
